id,label,definition status,definition,definition source,image status,image url,image provider,license
,Jewish_cuisine,3,"Jewish cuisine refers to the cooking traditions of the Jewish people worldwide. It has evolved over many centuries, shaped by Jewish dietary laws (kashrut), Jewish festival and Shabbat (Sabbath) traditions.",https://en.wikipedia.org/wiki/Jewish_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Kreplach_ClearSoup.jpg/640px-Kreplach_ClearSoup.jpg,Zlerman,Creative Commons Attribution-Share Alike 3.0
,Israeli_cuisine,3,"Israeli cuisine (Hebrew: המטבח הישראלי‎ ha-mitbaḥ ha-yisra’eli) comprises both local dishes and dishes brought to Israel by Jews from the Diaspora. Since before the establishment of the State of Israel in 1948, and particularly since the late 1970s, an Israeli Jewish fusion cuisine has developed.Israeli cuisine has adopted, and continues to adapt, elements of various styles of diaspora Jewish cuisine, particularly the Mizrahi, Sephardic and Ashkenazi styles of cooking.",https://en.wikipedia.org/wiki/Israeli_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Food_in_Israel.jpg/640px-Food_in_Israel.jpg,Triggerhippie4,Creative Commons Attribution 2.0
,Philippine_cuisine,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/640px-Flag_of_the_Philippines.svg.png,Llf1892,Public domain
,Italian_cuisine,3,"Italian cuisine is a Mediterranean cuisine consisting of the ingredients, recipes and cooking techniques developed across the Italian Peninsula since the antiquity, and later spread around the world together with waves of Italian diaspora.Significant changes occurred with the colonization of the Americas and the introduction of potatoes, tomatoes, capsicums, maize and sugar beet, this last introduced in quantity in the 18th century. Italian cuisine is known for its regional diversity, especially between the north and the south of the Italian peninsula.",https://en.wikipedia.org/wiki/Italian_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Italian_Delicacies.jpg/640px-Italian_Delicacies.jpg,AlMare,Public domain
,Korean_cuisine,3,Korean cuisine is the customary cooking traditions and practices of the culinary arts of Korea. Korean cuisine has evolved through centuries of social and political change.,https://en.wikipedia.org/wiki/Korean_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Bapsang.jpg/640px-Bapsang.jpg,Ityoppyawit,Creative Commons Attribution-Share Alike 2.0 kr
,Vietnamese_cuisine,3,"Vietnamese cuisine encompasses the foods and beverages of Vietnam, and features a combination of five fundamental tastes (Vietnamese: ngũ vị) in overall meals. Each Vietnamese dish has a distinctive flavor which reflects one or more of these elements.",https://en.wikipedia.org/wiki/Vietnamese_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Cha_Gio.jpg/640px-Cha_Gio.jpg,Flickr upload bot,Creative Commons Attribution 2.0
,Sausages,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Kielbasa7.jpg/640px-Kielbasa7.jpg,Andrew c,Creative Commons Attribution 3.0
,Sauces,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Lunch_sauces.jpg/640px-Lunch_sauces.jpg,Bdk,Creative Commons Attribution 2.0
,African_cuisine,3,"Traditionally, the various cuisines of Africa use a combination of locally available fruits such as, cereal grains and vegetables, as well as milk and meat products, and do not usually have food imported. In some parts of the continent, the traditional diet features an abundance of milk, curd and whey products.Central Africa, East Africa, North Africa, Southern Africa and West Africa each have distinctive dishes, preparation techniques, and consumption mores.",https://en.wikipedia.org/wiki/African_cuisine,1,,,
,Mediterranean_cuisine,3,"Mediterranean cuisine is the foods and methods of preparation by people of the Mediterranean Basin region. The idea of a Mediterranean cuisine originates with the cookery writer Elizabeth David's book, A Book of Mediterranean Food (1950) and was amplified by other writers working in English.",https://en.wikipedia.org/wiki/Mediterranean_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tres_hombres_sentados_a_la_mesa%2C_by_Diego_Vel%C3%A1zquez.jpg/591px-Tres_hombres_sentados_a_la_mesa%2C_by_Diego_Vel%C3%A1zquez.jpg,Picasa Review Bot,Public domain
,Dutch_cuisine,3,"Dutch cuisine (Dutch: Nederlandse keuken) is formed from the cooking traditions and practices of the Netherlands. The country's cuisine is shaped by its location in the fertile North Sea river delta of the European Plain, giving rise to fishing, farming (for crops and domesticated animals), and trading over sea, its former colonial empire and the spice trade.",https://en.wikipedia.org/wiki/Dutch_cuisine,1,,,
,Mexican_cuisine,3,"Mexican cuisine began about 9,000 years ago, when agricultural communities such as the Maya formed, domesticating maize, creating the standard process of maize nixtamalization, and establishing their foodways. Successive waves of other Mesoamerican groups brought with them their own cooking methods.",https://en.wikipedia.org/wiki/American_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Mole_in_Puebla.JPG/640px-Mole_in_Puebla.JPG,Elelicht,Creative Commons Attribution-Share Alike 3.0
,Armenian_cuisine,3,Armenian cuisine includes the foods and cooking techniques of the Armenian people and traditional Armenian foods and dishes. The cuisine reflects the history and geography where Armenians have lived as well as sharing outside influences from European and Levantine cuisines.,https://en.wikipedia.org/wiki/Armenian_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/640px-Flag_of_Armenia.svg.png,AndreyKva,Public domain
,Irish_cuisine,3,"Irish cuisine is the style of cooking that originated from Ireland, an island in the North Atlantic; or was developed by the Irish people. It has evolved from centuries of social and political change, and the mixing of the different cultures in Ireland, predominantly the English and Irish-European (and, in Ulster, the Scottish).",https://en.wikipedia.org/wiki/Irish_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Food_in_Ireland_today_uses_traditional_ingredients_cooked_and_presented_in_a_modern_way.jpg/640px-Food_in_Ireland_today_uses_traditional_ingredients_cooked_and_presented_in_a_modern_way.jpg,Zackgallagher,Creative Commons Attribution-Share Alike 4.0
,British_cuisine,3,"British cuisine is the heritage of cooking traditions and practices associated with the United Kingdom. Although Britain has a rich indigenous culinary tradition, its colonial history has profoundly enriched its native cooking traditions.",https://en.wikipedia.org/wiki/British_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Sunday_roast_-_roast_beef_1.jpg/640px-Sunday_roast_-_roast_beef_1.jpg,Edward,Creative Commons Attribution 2.0
,Japanese_cuisine,3,"Japanese cuisine encompasses the regional and traditional foods of Japan, which have developed through centuries of political, economic, and social changes. The traditional cuisine of Japan, washoku (和食), lit.",https://en.wikipedia.org/wiki/Japanese_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Oseti.jpg/640px-Oseti.jpg,Artanisen,Creative Commons Attribution-Share Alike 3.0
,Chinese_cuisine,3,"Chinese cuisine is an important part of Chinese culture, which includes cuisine originating from the diverse regions of China, as well as from Overseas Chinese who have settled in other parts of the world. Because of the Chinese diaspora and historical power of the country, Chinese cuisine has influenced many other cuisines in Asia, with modifications made to cater to local palates.",https://en.wikipedia.org/wiki/Chinese_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/8/8d/ChineseDishLogo.png,Meidosensei,Creative Commons Attribution-Share Alike 3.0
,Turkish_cuisine,3,"Turkish cuisine (Turkish: Türk mutfağı) is largely the heritage of Ottoman cuisine, which can be described as a fusion and refinement of Central Asian, Middle Eastern, Mediterranean, Eastern European, Armenian and Balkan cuisines. Turkish cuisine has in turn influenced those and other neighbouring cuisines, including those of Southeast Europe (Balkans), Central Europe, and Western Europe.",https://en.wikipedia.org/wiki/Turkish_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Beypazar%C4%B1_Sofras%C4%B1.jpg/640px-Beypazar%C4%B1_Sofras%C4%B1.jpg,Sadrettin,Creative Commons Attribution 2.5
,Hong_Kong_cuisine,3,"Hong Kong cuisine is mainly influenced by Cantonese cuisine, European cuisines (especially British cuisine) and non-Cantonese Chinese cuisines (especially Hakka, Teochew, Hokkien and Shanghainese), as well as Japanese, Korean and Southeast Asian cuisines, due to Hong Kong's past as a British colony and a long history of being an international port of commerce. From the roadside stalls to the most upscale restaurants, Hong Kong provides an unlimited variety of food and dining in every class.",https://en.wikipedia.org/wiki/Hong_Kong_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Dimsum_breakfast_in_Hong_Kong.jpg/640px-Dimsum_breakfast_in_Hong_Kong.jpg,Lorenzarius,Public domain
,South_African_cuisine,3,"South African cuisine includes both cookery practiced by indigenous people of Africa such as the Sotho- and Nguni-speaking people, and different styles of cookery that emerged from several waves of immigration introduced during the colonial period. The colonial influences include that of white European people of mostly Dutch, German, French and British descent and their Indo-Asian slaves or servants.",https://en.wikipedia.org/wiki/South_African_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/640px-Flag_of_South_Africa.svg.png,Great Brightstar,Public domain
,Azerbaijani_cuisine,3,"Azerbaijani cuisine (Azerbaijani: Azərbaycan mətbəxi) refers to the cooking styles and dishes of Azerbaijan and Iranian Azerbaijan region.   == History and features of Azerbaijan national cuisine == Azerbaijan's national cuisine is closer to middle eastern cuisine due to taste and preparation of the dishes, as well as adding a dark spice and flavor additives.",https://en.wikipedia.org/wiki/Azerbaijani_cuisine,1,,,
,Iranian_cuisine,3,"Iranian cuisine (Persian: آشپزی ایرانی āšpazi-e iranī) comprises the cooking traditions of Iran. The term Persian cuisine is used as well due to the fact that Iran is historically known as Persia in the West, even though ethnic Persians are only one of Iran's native ethnic groups that have contributed to the culinary culture.Iran's culinary culture has historically interacted with the cuisines of the neighboring regions, including Caucasian cuisine, Turkish cuisine, Levantine cuisine, Greek cuisine, Central Asian cuisine, and Russian cuisine.",https://en.wikipedia.org/wiki/Iranian_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/640px-Flag_of_Iran.svg.png,SiBr4,Public domain
,Desi_cuisine,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/South_Asia_%28orthographic_projection%29_with_national_boundaries.png/640px-South_Asia_%28orthographic_projection%29_with_national_boundaries.png,DrQuantum,Creative Commons Attribution-Share Alike 3.0
,Latin_American_cuisine,3,"Latin American cuisine is the typical foods, beverages, and cooking styles common to many of the countries and cultures in Latin America. Latin America is a highly diverse area of land whose nations have varying cuisines.",https://en.wikipedia.org/wiki/Latin_American_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Feijoada_2008.JPG/640px-Feijoada_2008.JPG,Gildemax,Creative Commons Attribution-Share Alike 2.0 de
,Oceanian_cuisine,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/LocationOceania.png/640px-LocationOceania.png,Corticopious,Public domain
,World_cuisine,1,,,1,,,
,Western_cuisine,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Paella-mixta.jpg/640px-Paella-mixta.jpg,Visoredd,Creative Commons Attribution-Share Alike 4.0
,Vegetarian_cuisine,3,"Vegetarian cuisine is based on food that meets vegetarian standards by not including meat and animal tissue products (such as gelatin or animal-derived rennet). For lacto-ovo vegetarianism (the most common type of vegetarianism in the Western world), eggs and dairy products (such as milk and cheese without rennet) are permitted.",https://en.wikipedia.org/wiki/Vegetarian_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Vegetarian_diet.jpg/423px-Vegetarian_diet.jpg,Dbenbenn,Public domain
,Vegan_cuisine,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Buffalo_Seitan_Pizza_%285049194209%29.jpg/640px-Buffalo_Seitan_Pizza_%285049194209%29.jpg,John Cummings,Creative Commons Attribution 2.0
,Balkan_cuisine,3,Balkan cuisine is a type of Mediterranean cuisine combining European with some Oriental characteristics and may refer to:,https://en.wikipedia.org/wiki/Balkan_cuisine,1,,,
,Prepared_foods,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg/640px-Good_Food_Display_-_NCI_Visuals_Online.jpg,Lobo,Public domain
,Indigenous_cuisine,3,Indigenous cuisine is a type of cuisine that is based on the preparation of cooking recipes with products obtained from native species of a specific area. Indigenous cuisine is prepared using indigenous ingredients of vegetable or animal origin in traditional recipes of the typical cuisine of a place.,https://en.wikipedia.org/wiki/Indigenous_cuisine,1,,,
,Italian_regional_cuisines,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Italian_Delicacies.jpg/640px-Italian_Delicacies.jpg,AlMare,Public domain
,Cuisine_of_the_Americas,3,"The cuisine of the Americas is made up of a variety of food preparation styles.   == North America ==  North American cuisine consists of foods native to or popular in countries of North America, such as Canadian cuisine, American cuisine, Mexican cuisine, and Central American cuisine.",https://en.wikipedia.org/wiki/Cuisine_of_the_Americas,3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Americas_%28orthographic_projection%29.svg/640px-Americas_%28orthographic_projection%29.svg.png,Turnless,Creative Commons Attribution-Share Alike 3.0
,Food_safety,3,"Food safety is used as a scientific discipline describing handling, preparation, and storage of food in ways that prevent food-borne illness. The occurrence of two or more cases of a similar illnesses resulting from the ingestion of a common food is known as a food-borne disease outbreak.",https://en.wikipedia.org/wiki/Food_safety,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Food_Safety_1.svg/498px-Food_Safety_1.svg.png,Pbrks,Creative Commons Attribution-Share Alike 4.0
,Toxic_effect_of_noxious_substances_eaten_as_food,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Amanita_phalloides_1.JPG/480px-Amanita_phalloides_1.JPG,Pandakekok9,Creative Commons Attribution-Share Alike 3.0
,Food_preservation,3,"Food preservation prevents the growth of microorganisms (such as yeasts), or other microorganisms (although some methods work by introducing benign bacteria or fungi to the food), as well as slowing the oxidation of fats that cause rancidity. Food preservation may also include processes that inhibit visual deterioration, such as the enzymatic browning reaction in apples after they are cut during food preparation.",https://en.wikipedia.org/wiki/Food_preservation,1,,,
,Foodborne_illnesses,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Food_Safety_1.svg/498px-Food_Safety_1.svg.png,Pbrks,Creative Commons Attribution-Share Alike 4.0
,Mycotoxins,1,,,1,,,
,Native_American_cuisine,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Manoomin_%28wild_rice%29.jpg/478px-Manoomin_%28wild_rice%29.jpg,Nevertime,Creative Commons Attribution-Share Alike 2.0
,Drinking_water,3,"Drinking water, also known as potable water, is water that is safe to drink or to use for food preparation. The amount of drinking water required to maintain good health varies, and depends on physical activity level, age, health-related issues, and environmental conditions.",https://en.wikipedia.org/wiki/Drinking_water,3,https://upload.wikimedia.org/wikipedia/commons/a/ae/Drinking_water.jpg,Velella,Creative Commons Attribution-Share Alike 3.0
,Nutrients,1,,,1,,,
,Dietetics,1,,,1,,,
,Food_science,3,"Food science is the basic science and applied science of food; its scope starts at overlap with agricultural science and nutrition and leads through the scientific aspects of food safety and food processing, informing the development of food technology. The Institute of Food Technologists defines food science as ""the discipline in which the engineering, biological, and physical sciences are used to study the nature of foods, the causes of deterioration, the principles underlying food processing, and the improvement of foods for the consuming public"".",https://en.wikipedia.org/wiki/Food_science,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Food_Science_and_Technology.jpg/640px-Food_Science_and_Technology.jpg,Visitor7,Creative Commons Attribution-Share Alike 3.0
,Dietary_supplements,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Iodine_pills.jpg/640px-Iodine_pills.jpg,Mx. Granger,"Creative Commons Zero, Public Domain Dedication"
,Beer,3,"Beer is one of the oldest and most widely consumed alcoholic drinks in the world, and the third most popular drink overall after water and tea. Beer is brewed from cereal grains—most commonly from malted barley, though wheat, maize (corn), and rice are also used.",https://en.wikipedia.org/wiki/Beer,3,https://upload.wikimedia.org/wikipedia/commons/7/78/GravityTap.jpg,Liftarn,Creative Commons Attribution-Share Alike 2.5
,Malt,3,"Malt is germinated cereal grain that has been dried in a process known as ""malting"". The grain is made to germinate by soaking in water and is then halted from germinating further by drying with hot air.Malting grain develops the enzymes (α-amylase, β-amylase) required for modifying the grains' starches into various types of sugar, including monosaccharide glucose, disaccharide maltose, trisaccharide maltotriose, and higher sugars called maltodextrines.",https://en.wikipedia.org/wiki/Malta,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gr%C3%BCnmalz.jpg/640px-Gr%C3%BCnmalz.jpg,File Upload Bot (Magnus Manske),Creative Commons Attribution-Share Alike 2.0 de
,Types_of_cheese,3,"Types of cheese are grouped or classified according to criteria such as length of fermentation, texture, methods of production, fat content, animal milk, and country or region of origin. The method most commonly and traditionally used is based on moisture content, which is then further narrowed down by fat content and curing or ripening methods.",https://en.wikipedia.org/wiki/Types_of_cheese,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Valen%C3%A7ay_04.jpg/640px-Valen%C3%A7ay_04.jpg,Grandevampire,Creative Commons Attribution-Share Alike 4.0
,Orange_production,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Orange-Whole-%26-Split.jpg/640px-Orange-Whole-%26-Split.jpg,Steinsplitter,Creative Commons Attribution-Share Alike 3.0
,Alcoholic_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Common_alcoholic_beverages.jpg/640px-Common_alcoholic_beverages.jpg,McGeddon,Public domain
,Caffeinated_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Tea_%26_Coffee%2C_Cotton_Gate_%288528806251%29.jpg/640px-Tea_%26_Coffee%2C_Cotton_Gate_%288528806251%29.jpg,Geagea,Creative Commons Attribution 2.0
,Bulgarian_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Coat_of_arms_of_Bulgaria.svg/640px-Coat_of_arms_of_Bulgaria.svg.png,Пакко,Public domain
,Tea,3,"Tea is an aromatic beverage commonly prepared by pouring hot or boiling water over cured or fresh leaves of the Camellia sinensis, an evergreen shrub (bush) native to East Asia. After water, it is the most widely consumed drink in the world.",https://en.wikipedia.org/wiki/Tea,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Longjing_tea_steeping_in_gaiwan.jpg/640px-Longjing_tea_steeping_in_gaiwan.jpg,Difference engine,Creative Commons Attribution-Share Alike 4.0
,Malt-based_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Kvass_brands.jpeg/640px-Kvass_brands.jpeg,Spaceboyjosh,Creative Commons Attribution-Share Alike 3.0
,Citrus_drinks,1,,,1,,,
,Fruit_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nice_Cup_of_Tea.jpg/640px-Nice_Cup_of_Tea.jpg,Vanderdecken,Public domain
,Hot_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nice_Cup_of_Tea.jpg/640px-Nice_Cup_of_Tea.jpg,Vanderdecken,Public domain
,Non-alcoholic_drinks,1,,,1,,,
,Mixed_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Cocktails_03.jpg/640px-Cocktails_03.jpg,Willscrlt,Creative Commons Attribution-Share Alike 2.0
,Japanese_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Ramune-lemonade%2Cjapan.JPG/480px-Ramune-lemonade%2Cjapan.JPG,Katorisi,Creative Commons Attribution 3.0
,Cold_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/6/63/Sugarcanejuice.jpg,FlickreviewR,Creative Commons Attribution-Share Alike 2.0
,Iranian_drinks,1,,,1,,,
,Ukrainian_drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Revo_CHERRY_.jpg/360px-Revo_CHERRY_.jpg,Η βικιπαίδεια είναι ελεύθερη εγκυκλοπαίδεια,Creative Commons Attribution-Share Alike 4.0
,Italian_sausages,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Salsiccia_di_bra.jpg/640px-Salsiccia_di_bra.jpg,F Ceragioli,Creative Commons Attribution-Share Alike 3.0
